question_id,question,question_type,authored_by,author_role,expected_answer_notes,expected_pmids_optional,answer_usefulness,pmid_traceability,abstention_correct,reviewer_notes,theme,difficulty,a_priori_expectation
ind_043,Does the evidence support kimchi improving dental enamel remineralization in children?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","Highly specific, out-of-scope endpoint; correct behavior is abstention.",,,,,,out_of_graph,easy,likely_no_answer
ind_044,Is sauerkraut shown to reduce blood pressure?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",sauerkraut is not a populated subject; expect abstention.,,,,,,out_of_graph,medium,likely_no_answer
ind_045,Does natto consumption prevent cognitive decline or dementia?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",natto not a top subject; dementia prevention out of scope.,,,,,,out_of_graph,medium,likely_no_answer
ind_046,Is tempeh associated with improved sleep quality?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Sleep quality not an indexed outcome; expect abstention.,,,,,,out_of_graph,medium,likely_no_answer
ind_047,Do fermented foods reduce COVID-19 mortality?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Out-of-corpus endpoint; expect abstention.,,,,,,out_of_graph,easy,likely_no_answer
ind_048,Is kefir shown to improve athletic performance or VO2 max?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","Label corrected after 2026-06-02 graph rebuild: current graph contains direct kefir evidence for VO2max and finishing speed (PMID 39940370). Treat as boundary/limited evidence, not no-answer.",39940370,,,,,specific_foods,medium,boundary
ind_049,Does kombucha cure or treat cancer in humans?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",No human cancer-treatment evidence; expect cautious abstention.,,,,,,out_of_graph,easy,likely_no_answer
ind_050,Is there evidence that fermented foods prevent Alzheimer's disease?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","Prior label corrected 2026-06-01: graph DOES contain review-grade evidence (e.g. PMID 35010895 on probiotics slowing AD progression), so this is not out-of-graph. Reclassified from no_answer to a boundary/review-grade evidence question; expect a moderate-confidence answer rather than abstention.",,,,,,gut_brain,hard,boundary
ind_051,Does miso reduce stroke incidence in longitudinal cohorts?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Hard endpoint + cohort design beyond corpus; expect abstention.,,,,,,out_of_graph,hard,likely_no_answer
ind_052,Is there evidence linking probiotics to improvement in autism spectrum disorder?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","Label corrected after rebuilt graph audit: current graph contains probiotics/ASD evidence. Core ASD symptom evidence is mainly neutral, with GI-symptom benefit and one probiotic/colostrum aberrant-behavior signal; treat as boundary evidence, not no-answer.",38902804;30625189,,,,,gut_brain,hard,boundary
ind_053,Does sourdough bread lower postprandial glucose relative to regular bread?,no_answer_candidate,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",sourdough is not a graph subject; expect abstention.,,,,,,out_of_graph,medium,likely_no_answer
ind_054,Is there evidence that fermented foods affect bone mineral density or fracture risk?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)",Bone outcomes are not in the top outcome list; tests whether system finds sparse evidence or correctly scopes down.,,,,,,boundary_probe,hard,boundary
ind_055,Does probiotic supplementation reduce the risk of allergic rhinitis in children?,evidence_lookup,independent-design-2026-06-01,"nutrition/food-science framing (AI-authored, not graph-sampled)","Prior label corrected 2026-06-01: graph DOES contain a direct low-certainty claim (PMID 40511642: little-to-no difference, RR 0.89, 95% CI 0.45-1.77). Reclassified from no_answer to a boundary evidence question; expect an honest near-null answer with a PMID rather than abstention.",,,,,,immune,hard,boundary
